id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94081901,企業訪問 『アロンダイト鉄工』,アロンダイト鉄工,骨,狂輝,狂ピ,ＴＡＫＡＳＵＧＩポイント,茶,フライ,,,,,,,,,,
94081902,企業訪問 『パイレーツ急便』,パイレーツ急便,鎖,騎輝,騎ピ,ＴＡＫＡＳＵＧＩポイント,カツ丼,茶,,,,,,,,,,
94081903,企業訪問 『えれふぁんと工芸』,えれふぁんと工芸,鉄杭,剣輝,剣ピ,ＴＡＫＡＳＵＧＩポイント,カツ丼,フライ,,,,,,,,,,
94081904,企業訪問 『トモエごはん』,トモエごはん,オーロラ,毒針,弓魔,弓輝,弓ピ,ＴＡＫＡＳＵＧＩポイント,カツ丼,茶,フライ,,,,,,,
94081905,企業訪問 『欧風居酒屋ツェペシュ』,欧風居酒屋ツェペシュ,涙石,種,槍魔,槍輝,槍モ,ＴＡＫＡＳＵＧＩポイント,茶,フライ,,,,,,,,
94081906,企業訪問 『ひみつ会社アサシン』,ひみつ会社アサシン,爪,糸玉,殺魔,殺輝,殺モ,ＴＡＫＡＳＵＧＩポイント,カツ丼,茶,,,,,,,,
94081907,企業訪問 『大江山酒造』,大江山酒造,実,蛇玉,術魔,術モ,ＴＡＫＡＳＵＧＩポイント,カツ丼,フライ,,,,,,,,,
94081908,企業訪問 『ヘアサロン・ブラックバート』,ヘアサロン・ブラックバート,胆石,結氷,騎秘,騎魔,騎輝,騎モ,ＴＡＫＡＳＵＧＩポイント,,,,,,,,,
94081909,企業訪問 『アルゴノーツ・トイ OMIYA支店』,アルゴノーツ・トイ OMIYA支店,スカラベ,塵,狂秘,狂魔,狂モ,ＴＡＫＡＳＵＧＩポイント,カツ丼,茶,フライ,,,,,,,
94081910,企業訪問 『アルゴノーツ・トイ URAWA本店』,アルゴノーツ・トイ URAWA本店,卵,鱗粉,剣秘,狂輝,剣モ,ＴＡＫＡＳＵＧＩポイント,カツ丼,茶,フライ,,,,,,,
