id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94152901,花畑作り 腐葉土を手に入れよう,花畑作り 腐葉土を手に入れよう,戯れの蕾,種,狂輝,狂ピ,はなさかポイント,のび肥,すく肥,,,,,,,,,
94152902,花畑作り 音響栽培を学ぼう,花畑作り 音響栽培を学ぼう,戯れの蕾,鉄杭,殺輝,殺ピ,はなさかポイント,ぐん肥,のび肥,,,,,,,,,
94152903,花畑作り 敷き藁を分けてもらおう,花畑作り 敷き藁を分けてもらおう,戯れの蕾,蹄鉄,騎魔,騎輝,騎ピ,はなさかポイント,ぐん肥,すく肥,,,,,,,,
94152904,花畑作り 獣除けの柵を作ろう,花畑作り 獣除けの柵を作ろう,戯れの蕾,皮,蛇玉,槍魔,槍輝,槍ピ,はなさかポイント,ぐん肥,のび肥,すく肥,,,,,,
94152905,花畑作り 花壇の庭石を取りにいこう,花畑作り 花壇の庭石を取りにいこう,戯れの蕾,勾玉,羽根,剣魔,剣輝,剣モ,はなさかポイント,のび肥,すく肥,,,,,,,
94152906,花畑作り 土壌改良のプロに訊こう,花畑作り 土壌改良のプロに訊こう,戯れの蕾,産毛,オーロラ,術魔,術輝,術モ,はなさかポイント,ぐん肥,のび肥,,,,,,,
94152907,花畑作り 米のとぎ汁を譲ってもらおう,花畑作り 米のとぎ汁を譲ってもらおう,戯れの蕾,神酒,鈴,弓秘,弓魔,弓モ,はなさかポイント,ぐん肥,すく肥,,,,,,,
94152908,花畑作り 新たな水源地を見つけよう,花畑作り 新たな水源地を見つけよう,戯れの蕾,胆石,残滓,狂秘,狂輝,狂モ,はなさかポイント,,,,,,,,,
94152909,花畑作り 花畑の監視員を雇おう,花畑作り 花畑の監視員を雇おう,戯れの蕾,逆鱗,花,術秘,術魔,騎モ,術モ,殺モ,狂モ,はなさかポイント,ぐん肥,のび肥,すく肥,,,
94152910,花畑作り クワ振りの極意を学ぼう,花畑作り クワ振りの極意を学ぼう,戯れの蕾,心臓,灰,殺秘,殺魔,殺輝,殺モ,はなさかポイント,ぐん肥,のび肥,すく肥,,,,,
