id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94157601,お手伝い 山菜採り,お手伝い 山菜採り,銀雪の女神たち,産毛,種,火薬,騎魔,騎輝,狂輝,騎ピ,スギ,川の幸,山の幸,,,,,
94157602,お手伝い 雑巾がけ,お手伝い 雑巾がけ,銀雪の女神たち,爪,火薬,狂魔,狂輝,狂ピ,ヒノキ,雀の幸,山の幸,,,,,,,
94157603,お手伝い 川魚獲り,お手伝い 川魚獲り,銀雪の女神たち,胆石,八連,火薬,槍秘,狂魔,狂輝,槍ピ,ケヤキ,雀の幸,川の幸,,,,,
94157604,お手伝い 女湯掃除,お手伝い 女湯掃除,銀雪の女神たち,貝殻,髄液,剣魔,剣輝,剣モ,ヒノキ,雀の幸,川の幸,,,,,,,
94157605,お手伝い 男湯掃除,お手伝い 男湯掃除,銀雪の女神たち,涙石,蛇玉,髄液,弓魔,弓輝,弓モ,ケヤキ,川の幸,山の幸,,,,,,
94157606,お手伝い 宴会配膳,お手伝い 宴会配膳,銀雪の女神たち,逆鱗,牙,火薬,騎秘,騎魔,騎輝,狂輝,騎モ,スギ,雀の幸,山の幸,,,,
94157607,お手伝い 大窓磨き,お手伝い 大窓磨き,銀雪の女神たち,ランプ,勾玉,羽根,槍魔,槍モ,ケヤキ,雀の幸,山の幸,,,,,,,
94157608,お手伝い 庭の手入れ,お手伝い 庭の手入れ,銀雪の女神たち,神酒,塵,火薬,殺秘,殺魔,殺輝,殺モ,ヒノキ,川の幸,山の幸,,,,,
94157609,お手伝い 上客歓待,お手伝い 上客歓待,銀雪の女神たち,スカラベ,鈴,ランタン,術秘,術魔,術輝,術モ,スギ,雀の幸,川の幸,,,,,
94157610,お手伝い 道案内,お手伝い 道案内,銀雪の女神たち,火薬,骨,狂輝,狂ピ,ケヤキ,ヒノキ,スギ,雀の幸,川の幸,山の幸,,,,,
