id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94155800,臨終の庭,臨終の庭,アライアンス,概念礼装EXPカード：ロックにキメてこうぜ！,髄液,剣輝,剣ピ,鉄兜,マント,,,,,,,,,
94155801,血無き骨踊る狂宴,血無き骨踊る狂宴,アライアンス,概念礼装EXPカード：ロックにキメてこうぜ！,骨,狂輝,狂ピ,大剣,鉄兜,,,,,,,,,
94155802,襲撃騎馬隊,襲撃騎馬隊,アライアンス,概念礼装EXPカード：ロックにキメてこうぜ！,蹄鉄,騎輝,騎ピ,大剣,マント,,,,,,,,,
94155803,盗人の穴倉,盗人の穴倉,アライアンス,概念礼装EXPカード：ロックにキメてこうぜ！,勾玉,鎖,殺魔,殺輝,殺モ,大剣,鉄兜,マント,,,,,,
94155804,流転の蜃気楼,流転の蜃気楼,アライアンス,概念礼装EXPカード：ロックにキメてこうぜ！,八連,術秘,術輝,術モ,鉄兜,マント,,,,,,,,
94155805,凄絶の門,凄絶の門,アライアンス,概念礼装EXPカード：ロックにキメてこうぜ！,鈴,勲章,槍魔,槍輝,槍モ,大剣,鉄兜,,,,,,,
94155806,死を告げる一矢,死を告げる一矢,アライアンス,概念礼装EXPカード：ロックにキメてこうぜ！,花,証,弓魔,弓輝,弓モ,大剣,マント,,,,,,,
94155807,虚像の残骸,虚像の残骸,アライアンス,概念礼装EXPカード：ロックにキメてこうぜ！,皮,剣,殺秘,殺輝,殺モ,大剣,鉄兜,マント,,,,,,
94155906,【狂愚】女神アーテー封伐戦 ΠI,【狂愚】女神アーテー封伐戦 ΠI,アライアンス,概念礼装EXPカード：ロックにキメてこうぜ！,狂足跡,聖水,卵,霊子,ホム,塵,残滓,狂秘,狂魔,狂輝,大剣,鉄兜,マント,全業火
94155850,番犬のさんぽ道,番犬のさんぽ道,アライアンス,概念礼装EXPカード：ロックにキメてこうぜ！,脂,火薬,剣魔,剣輝,剣モ,鉄兜,マント,,,,,,,
94155851,聖なる剣のものがたり,聖なる剣のものがたり,アライアンス,概念礼装EXPカード：ロックにキメてこうぜ！,産毛,頁,騎魔,騎輝,騎モ,大剣,鉄兜,,,,,,,
94155852,おおきなビルの木の下で,おおきなビルの木の下で,アライアンス,概念礼装EXPカード：ロックにキメてこうぜ！,涙石,小鐘,槍魔,槍輝,槍モ,大剣,マント,,,,,,,
94155853,みんなを守ってくださいますか,みんなを守ってくださいますか,アライアンス,概念礼装EXPカード：ロックにキメてこうぜ！,心臓,羽根,狂秘,狂輝,剣モ,弓モ,槍モ,大剣,鉄兜,マント,,,,
