id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12
94067620,第一リーグ アイランド級 黄金！メカクレ！ぽんぽこ！,第一リーグ アイランド級,コスモカルデア高等学園,オーロラ,牙,騎魔,騎輝,騎ピ,AUOくじ2022,ギャラクシードッグ,スペースポテト,,,
94067621,第一リーグ コンティネント級 ＶＲ戦士ＴＯＭＯＥ,第一リーグ コンティネント級,コスモカルデア高等学園,勾玉,証,剣魔,剣輝,剣モ,AUOくじ2022,メテオバーガー,ギャラクシードッグ,,,
94067622,第一リーグ プラネット級 叛逆の騎士と仲間たち,第一リーグ プラネット級,コスモカルデア高等学園,炉心,結氷,狂魔,狂輝,剣モ,槍モ,狂モ,AUOくじ2022,メテオバーガー,スペースポテト,
94067623,第一リーグ ギャラクシー級 コスモカルデア学園教師,第一リーグ ギャラクシー級,コスモカルデア高等学園,産毛,種,術魔,術輝,術モ,AUOくじ2022,,,,,
94067624,第一リーグ スペース級 銀河聖堂騎士団,第一リーグ スペース級,コスモカルデア高等学園,根,蹄鉄,剣秘,騎輝,剣モ,騎モ,AUOくじ2022,メテオバーガー,ギャラクシードッグ,スペースポテト,
94067630,第二リーグ アイランド級 ひみつ会社アサシン,第二リーグ アイランド級,コスモカルデア高等学園,八連,塵,術秘,殺輝,術ピ,殺ピ,AUOくじ2022,ギャラクシードッグ,スペースポテト,,
94067631,第二リーグ コンティネント級 カルデア三本鎗,第二リーグ コンティネント級,コスモカルデア高等学園,羽根,槍秘,槍魔,槍モ,AUOくじ2022,メテオバーガー,ギャラクシードッグ,,,,
94067632,第二リーグ プラネット級 銀河の残り火,第二リーグ プラネット級,コスモカルデア高等学園,実,勲章,剣秘,剣魔,剣モ,AUOくじ2022,メテオバーガー,スペースポテト,,,
94067633,第二リーグ ギャラクシー級 コスモ★アルゴノーツ,第二リーグ ギャラクシー級,コスモカルデア高等学園,鬼灯,指輪,狂秘,狂魔,剣モ,弓モ,狂モ,AUOくじ2022,,,
94067634,第二リーグ スペース級 カルデア研究室,第二リーグ スペース級,コスモカルデア高等学園,スカラベ,ホム,術秘,術魔,術輝,術モ,AUOくじ2022,メテオバーガー,ギャラクシードッグ,スペースポテト,
94067640,第三リーグ アイランド級 スペース・ウィッチズ,第三リーグ アイランド級,コスモカルデア高等学園,霊子,種,術魔,術輝,術ピ,AUOくじ2022,ギャラクシードッグ,スペースポテト,,,
94067641,第三リーグ コンティネント級 カルデア救命班＋α,第三リーグ コンティネント級,コスモカルデア高等学園,幼角,牙,狂魔,騎輝,騎モ,術モ,殺モ,狂モ,AUOくじ2022,メテオバーガー,ギャラクシードッグ
94067642,第三リーグ プラネット級 ヴィラン連合残党,第三リーグ プラネット級,コスモカルデア高等学園,爪,鎖,弓秘,術魔,術輝,弓モ,術モ,AUOくじ2022,メテオバーガー,スペースポテト,
94067643,第三リーグ ギャラクシー級 カルデア剣術顧問,第三リーグ ギャラクシー級,コスモカルデア高等学園,心臓,鈴,剣秘,剣魔,剣モ,AUOくじ2022,,,,,
94067644,第三リーグ スペース級 スペース・パイレーツ,第三リーグ スペース級,コスモカルデア高等学園,神酒,小鐘,狂秘,騎輝,騎モ,狂モ,AUOくじ2022,メテオバーガー,ギャラクシードッグ,スペースポテト,
