id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14
94049401,資材採集 集落内で資材を集める,資材採集 集落内で資材を集める,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,八連,塵,術魔,術輝,術ピ,茅束,銅鏡,銅鐸,,,,
94049402,資材採集 近場の川で資材を集める,資材採集 近場の川で資材を集める,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,ホム,塵,槍魔,槍輝,槍ピ,丸太,蛤,銅鏡,,,,
94049403,資材採集 近場の野原で資材を集める,資材採集 近場の野原で資材を集める,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,概念礼装EXPカード：猛者と無敵,羽根,塵,殺魔,殺輝,殺ピ,粘土,蛤,銅鐸,,,
94049404,資材採集 古い森で資材を集める,資材採集 古い森で資材を集める,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,概念礼装EXPカード：猛者と無敵,爪,オーロラ,指輪,剣魔,剣モ,粘土,丸太,茅束,蛤,銅鏡,銅鐸
94049405,資材採集 大蛇の神殿で資材を集める,資材採集 大蛇の神殿で資材を集める,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,概念礼装EXPカード：猛者と無敵,ランプ,オーロラ,火薬,弓魔,弓モ,茅束,銅鏡,銅鐸,,,
94049406,資材採集 光輝の神殿で資材を集める,資材採集 光輝の神殿で資材を集める,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,実,勾玉,種,騎魔,騎モ,丸太,蛤,銅鏡,,,,
94049407,資材採集 旧邪馬台国神殿で資材を集める,資材採集 旧邪馬台国神殿で資材を集める,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,スカラベ,矢尻,勲章,剣秘,剣魔,剣輝,剣モ,粘土,蛤,銅鐸,,
94049301,凶つ神「炎ノブ」撃退戦 邪念級,凶つ神「炎ノブ」撃退戦 邪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,根,牙,剣秘,剣魔,剣輝,丸太,銅鏡,,,,,
94049302,凶つ神「炎ノブ」撃退戦 呪念級,凶つ神「炎ノブ」撃退戦 呪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,概念礼装EXPカード：ようこそ邪馬台国！,根,牙,剣秘,剣魔,剣輝,丸太,銅鏡,,,,
94049303,凶つ神「炎ノブ」撃退戦 怨念級,凶つ神「炎ノブ」撃退戦 怨念級,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,根,牙,剣秘,剣魔,剣輝,丸太,銅鏡,,,,,
94049304,凶つ神「地ノブ」撃退戦 邪念級,凶つ神「地ノブ」撃退戦 邪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,涙石,ランタン,槍秘,槍魔,槍輝,丸太,蛤,,,,,
94049305,凶つ神「地ノブ」撃退戦 呪念級,凶つ神「地ノブ」撃退戦 呪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,概念礼装EXPカード：ようこそ邪馬台国！,涙石,ランタン,槍秘,槍魔,槍輝,丸太,蛤,,,,
94049306,凶つ神「地ノブ」撃退戦 怨念級,凶つ神「地ノブ」撃退戦 怨念級,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,涙石,ランタン,槍秘,槍魔,槍輝,丸太,蛤,,,,,
94049307,凶つ神「水ノブ」撃退戦 邪念級,凶つ神「水ノブ」撃退戦 邪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,炉心,ホム,弓秘,弓魔,弓輝,茅束,銅鐸,,,,,
94049308,凶つ神「水ノブ」撃退戦 呪念級,凶つ神「水ノブ」撃退戦 呪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,概念礼装EXPカード：ようこそ邪馬台国！,炉心,ホム,弓秘,弓魔,弓輝,茅束,銅鐸,,,,
94049309,凶つ神「水ノブ」撃退戦 怨念級,凶つ神「水ノブ」撃退戦 怨念級,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,炉心,ホム,弓秘,弓魔,弓輝,茅束,銅鐸,,,,,
