id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15
94062501,凶つ神「炎ノブ」撃退戦 邪念級,凶つ神「炎ノブ」撃退戦 邪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,根,牙,剣秘,剣魔,剣輝,丸太,銅鏡,,,,,,
94062502,凶つ神「炎ノブ」撃退戦 呪念級,凶つ神「炎ノブ」撃退戦 呪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,概念礼装EXPカード：ようこそ邪馬台国！,根,牙,剣秘,剣魔,剣輝,丸太,銅鏡,,,,,
94062503,凶つ神「炎ノブ」撃退戦 怨念級,凶つ神「炎ノブ」撃退戦 怨念級,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,根,牙,剣秘,剣魔,剣輝,丸太,銅鏡,,,,,,
94062504,凶つ神「地ノブ」撃退戦 邪念級,凶つ神「地ノブ」撃退戦 邪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,涙石,ランタン,槍秘,槍魔,槍輝,丸太,蛤,,,,,,
94062505,凶つ神「地ノブ」撃退戦 呪念級,凶つ神「地ノブ」撃退戦 呪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,概念礼装EXPカード：ようこそ邪馬台国！,涙石,ランタン,槍秘,槍魔,槍輝,丸太,蛤,,,,,
94062506,凶つ神「地ノブ」撃退戦 怨念級,凶つ神「地ノブ」撃退戦 怨念級,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,涙石,ランタン,槍秘,槍魔,槍輝,丸太,蛤,,,,,,
94062507,凶つ神「水ノブ」撃退戦 邪念級,凶つ神「水ノブ」撃退戦 邪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,炉心,ホム,弓秘,弓魔,弓輝,茅束,銅鐸,,,,,,
94062508,凶つ神「水ノブ」撃退戦 呪念級,凶つ神「水ノブ」撃退戦 呪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,概念礼装EXPカード：ようこそ邪馬台国！,炉心,ホム,弓秘,弓魔,弓輝,茅束,銅鐸,,,,,
94062509,凶つ神「水ノブ」撃退戦 怨念級,凶つ神「水ノブ」撃退戦 怨念級,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,炉心,ホム,弓秘,弓魔,弓輝,茅束,銅鐸,,,,,,
94062510,凶つ神「嵐ノブ」撃退戦 邪念級,凶つ神「嵐ノブ」撃退戦 邪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,卵,鉄杭,騎秘,騎魔,騎輝,丸太,銅鐸,,,,,,
94062511,凶つ神「嵐ノブ」撃退戦 呪念級,凶つ神「嵐ノブ」撃退戦 呪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,概念礼装EXPカード：ようこそ邪馬台国！,卵,鉄杭,騎秘,騎魔,騎輝,丸太,銅鐸,,,,,
94062512,凶つ神「嵐ノブ」撃退戦 怨念級,凶つ神「嵐ノブ」撃退戦 怨念級,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,卵,鉄杭,騎秘,騎魔,騎輝,丸太,銅鐸,,,,,,
94062513,凶つ神「光ノブ」撃退戦 邪念級,凶つ神「光ノブ」撃退戦 邪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,胆石,火薬,術秘,術魔,術輝,茅束,銅鏡,,,,,,
94062514,凶つ神「光ノブ」撃退戦 呪念級,凶つ神「光ノブ」撃退戦 呪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,概念礼装EXPカード：ようこそ邪馬台国！,胆石,火薬,術秘,術魔,術輝,茅束,銅鏡,,,,,
94062515,凶つ神「光ノブ」撃退戦 怨念級,凶つ神「光ノブ」撃退戦 怨念級,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,胆石,火薬,術秘,術魔,術輝,茅束,銅鏡,,,,,,
94062516,凶つ神「闇ノブ」撃退戦 邪念級,凶つ神「闇ノブ」撃退戦 邪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,脂,冠,殺秘,殺魔,殺輝,粘土,銅鐸,,,,,,
94062517,凶つ神「闇ノブ」撃退戦 呪念級,凶つ神「闇ノブ」撃退戦 呪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,概念礼装EXPカード：ようこそ邪馬台国！,脂,冠,殺秘,殺魔,殺輝,粘土,銅鐸,,,,,
94062518,凶つ神「闇ノブ」撃退戦 怨念級,凶つ神「闇ノブ」撃退戦 怨念級,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,脂,冠,殺秘,殺魔,殺輝,粘土,銅鐸,,,,,,
94062519,凶つ神「狂ノブ」撃退戦 邪念級,凶つ神「狂ノブ」撃退戦 邪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,産毛,結氷,狂秘,狂魔,狂輝,粘土,蛤,,,,,,
94062520,凶つ神「狂ノブ」撃退戦 呪念級,凶つ神「狂ノブ」撃退戦 呪念級,姫巫女の寸暇,概念礼装EXPカード：猛者と無敵,概念礼装EXPカード：ようこそ邪馬台国！,産毛,結氷,狂秘,狂魔,狂輝,粘土,蛤,,,,,
94062521,凶つ神「狂ノブ」撃退戦 怨念級,凶つ神「狂ノブ」撃退戦 怨念級,姫巫女の寸暇,概念礼装EXPカード：ようこそ邪馬台国！,産毛,結氷,狂秘,狂魔,狂輝,粘土,蛤,,,,,,
