id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94149401,神剣改め 心臓を穿つ槍,神剣改め 心臓を穿つ槍,デュアル･バーニング,概念礼装EXPカード：死に損ねの赤狼,毒針,槍輝,槍ピ,ばらずし,湯豆腐,八ツ橋,,,,,,,,
94149402,神剣改め よく焦がす薙刀,神剣改め よく焦がす薙刀,デュアル・バーニング,概念礼装EXPカード：死に損ねの赤狼,鎖,弓輝,弓ピ,湯豆腐,八ツ橋,,,,,,,,,
94149403,神剣改め これはキミの剣,神剣改め これはキミの剣,デュアル・バーニング,概念礼装EXPカード：死に損ねの赤狼,ホム,騎魔,騎輝,騎ピ,ばらずし,湯豆腐,,,,,,,,
94149404,神剣改め 血を啜る大斧,神剣改め 血を啜る大斧,デュアル・バーニング,概念礼装EXPカード：もぐもぐ彦斎,概念礼装EXPカード：死に損ねの赤狼,糸玉,歯車,狂魔,狂輝,狂ピ,ばらずし,八ツ橋,,,,,,
94149405,神剣改め 介錯人の大段平,神剣改め 介錯人の大段平,デュアル・バーニング,概念礼装EXPカード：もぐもぐ彦斎,概念礼装EXPカード：死に損ねの赤狼,ランタン,殺魔,殺輝,殺モ,ばらずし,湯豆腐,八ツ橋,,,,,,
94149406,神剣改め 修行中の黄金剣,神剣改め 修行中の黄金剣,デュアル・バーニング,概念礼装EXPカード：もぐもぐ彦斎,概念礼装EXPカード：死に損ねの赤狼,実,勾玉,剣魔,剣輝,剣モ,湯豆腐,八ツ橋,,,,,,
94149407,神剣改め 戦士のナイフ,神剣改め 戦士のナイフ,デュアル・バーニング,概念礼装EXPカード：もぐもぐ彦斎,概念礼装EXPカード：死に損ねの赤狼,炉心,頁,術魔,術モ,ばらずし,湯豆腐,,,,,,,
94149408,神剣改め 風踊る魔槍,神剣改め 風踊る魔槍,デュアル・バーニング,概念礼装EXPカード：もぐもぐ彦斎,神酒,蛇玉,槍秘,槍魔,槍輝,槍モ,ばらずし,八ツ橋,,,,,,
94149409,神剣改め 迷える両刃斧,神剣改め 迷える両刃斧,デュアル・バーニング,概念礼装EXPカード：もぐもぐ彦斎,カケラ,矢尻,狂秘,狂魔,狂輝,狂モ,ばらずし,湯豆腐,八ツ橋,,,,,
94149410,神剣改め 燃えろ翡翠剣,神剣改め 燃えろ翡翠剣,デュアル・バーニング,概念礼装EXPカード：もぐもぐ彦斎,根,火薬,騎秘,騎魔,騎輝,騎モ,ばらずし,湯豆腐,八ツ橋,,,,,
