id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08
94053101,心を失った者・ハント 開位級,心を失った者・ハント 開位級,鈴,鎖,狂秘,狂魔,狂輝,狂猛火,,
94053102,心を失った者・ハント 祭位級,心を失った者・ハント 祭位級,鈴,鎖,狂秘,狂魔,狂輝,狂猛火,,
94053103,心を失った者・ハント 典位級,心を失った者・ハント 典位級,鈴,鎖,狂秘,狂魔,狂輝,狂猛火,,
94053104,心を失った者・ハント 典位+級,心を失った者・ハント 典位+級,鈴,鎖,狂秘,狂魔,狂輝,狂猛火,,
94053105,粛正騎士・ハント 開位級,粛正騎士・ハント 開位級,鈴,勲章,剣秘,剣魔,剣輝,剣猛火,,
94053106,粛正騎士・ハント 祭位級,粛正騎士・ハント 祭位級,鈴,勲章,剣秘,剣魔,剣輝,剣猛火,,
94053107,粛正騎士・ハント 典位級,粛正騎士・ハント 典位級,鈴,勲章,剣秘,剣魔,剣輝,剣猛火,,
94053108,粛正騎士・ハント 典位+級,粛正騎士・ハント 典位+級,鈴,勲章,剣秘,剣魔,剣輝,剣猛火,,
94053109,ワルキューレ・ハント 開位級,ワルキューレ・ハント 開位級,鈴,オーロラ,八連,騎秘,槍魔,槍輝,槍猛火,騎猛火
94053110,ワルキューレ・ハント 祭位級,ワルキューレ・ハント 祭位級,鈴,オーロラ,八連,騎秘,槍魔,槍輝,槍猛火,騎猛火
94053111,ワルキューレ・ハント 典位級,ワルキューレ・ハント 典位級,鈴,オーロラ,八連,騎秘,槍魔,槍輝,槍猛火,騎猛火
94053112,ワルキューレ・ハント 典位+級,ワルキューレ・ハント 典位+級,鈴,オーロラ,八連,騎秘,槍魔,槍輝,槍猛火,騎猛火
94053113,巨大メカ魔猪・ハント 開位級,巨大メカ魔猪・ハント 開位級,炉心,鈴,歯車,殺秘,殺魔,殺輝,殺猛火,
94053114,巨大メカ魔猪・ハント 祭位級,巨大メカ魔猪・ハント 祭位級,炉心,鈴,歯車,殺秘,殺魔,殺輝,殺猛火,
94053115,巨大メカ魔猪・ハント 典位級,巨大メカ魔猪・ハント 典位級,炉心,鈴,歯車,殺秘,殺魔,殺輝,殺猛火,
94053116,巨大メカ魔猪・ハント 典位+級,巨大メカ魔猪・ハント 典位+級,炉心,鈴,歯車,殺秘,殺魔,殺輝,殺猛火,
94053117,デーモン・ハント 開位級,デーモン・ハント 開位級,心臓,鈴,髄液,術秘,術魔,術輝,術猛火,
94053118,デーモン・ハント 祭位級,デーモン・ハント 祭位級,心臓,鈴,髄液,術秘,術魔,術輝,術猛火,
94053119,デーモン・ハント 典位級,デーモン・ハント 典位級,心臓,鈴,髄液,術秘,術魔,術輝,術猛火,
94053120,デーモン・ハント 典位+級,デーモン・ハント 典位+級,心臓,鈴,髄液,術秘,術魔,術輝,術猛火,
