id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94058401,山賊・ハント 開位級,山賊・ハント 開位級,羽根,証,剣秘,剣魔,剣輝,剣猛火,,,,,,,,,,
94058402,山賊・ハント 祭位級,山賊・ハント 祭位級,羽根,証,剣秘,剣魔,剣輝,剣猛火,,,,,,,,,,
94058403,山賊・ハント 典位級,山賊・ハント 典位級,羽根,証,剣秘,剣魔,剣輝,剣猛火,,,,,,,,,,
94058404,山賊・ハント 典位+級,山賊・ハント 典位+級,羽根,証,剣秘,剣魔,剣輝,剣猛火,,,,,,,,,,
94058405,ブック・ハント 開位級,ブック・ハント 開位級,羽根,頁,術秘,術魔,術輝,術猛火,,,,,,,,,,
94058406,ブック・ハント 祭位級,ブック・ハント 祭位級,羽根,頁,術秘,術魔,術輝,術猛火,,,,,,,,,,
94058407,ブック・ハント 典位級,ブック・ハント 典位級,羽根,頁,術秘,術魔,術輝,術猛火,,,,,,,,,,
94058408,ブック・ハント 典位+級,ブック・ハント 典位+級,羽根,頁,術秘,術魔,術輝,術猛火,,,,,,,,,,
94058409,巨人・ハント 開位級,巨人・ハント 開位級,指輪,鎖,狂秘,狂魔,狂輝,狂猛火,,,,,,,,,,
94058410,巨人・ハント 祭位級,巨人・ハント 祭位級,指輪,鎖,狂秘,狂魔,狂輝,狂猛火,,,,,,,,,,
94058411,巨人・ハント 典位級,巨人・ハント 典位級,指輪,鎖,狂秘,狂魔,狂輝,狂猛火,,,,,,,,,,
94058412,巨人・ハント 典位+級,巨人・ハント 典位+級,指輪,鎖,狂秘,狂魔,狂輝,狂猛火,,,,,,,,,,
