id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15
94095701,隈乃温泉十怪談 その壱 河伯達は遊びたい,隈乃温泉十怪談 その壱 河伯達は遊びたい,温泉球争,概念礼装EXPカード：お喋り探偵ロビン,骨,槍魔,槍輝,槍ピ,牛乳,御札,,,,,,,
94095702,隈乃温泉十怪談 その弐 獣愛に目覚めし山童,隈乃温泉十怪談 その弐 獣愛に目覚めし山童,温泉球争,概念礼装EXPカード：お喋り探偵ロビン,種,弓魔,弓輝,弓ピ,提灯,牛乳,,,,,,,
94095703,隈乃温泉十怪談 その参 極彩色の暗雲,隈乃温泉十怪談 その参 極彩色の暗雲,温泉球争,概念礼装EXPカード：お喋り探偵ロビン,牙,殺魔,殺輝,殺ピ,提灯,御札,,,,,,,
94095704,隈乃温泉十怪談 その肆 愛憎の祠,隈乃温泉十怪談 その肆 愛憎の祠,温泉球争,概念礼装EXPカード：おかしな双子,概念礼装EXPカード：お喋り探偵ロビン,勾玉,八連,狂魔,狂輝,狂ピ,牛乳,御札,,,,,
94095705,隈乃温泉十怪談 その伍 直線迷宮,隈乃温泉十怪談 その伍 直線迷宮,温泉球争,概念礼装EXPカード：おかしな双子,概念礼装EXPカード：お喋り探偵ロビン,爪,蹄鉄,剣秘,剣魔,剣輝,剣モ,提灯,牛乳,,,,
94095706,隈乃温泉十怪談 その陸 狂信の人形師,隈乃温泉十怪談 その陸 狂信の人形師,温泉球争,概念礼装EXPカード：おかしな双子,概念礼装EXPカード：お喋り探偵ロビン,炉心,歯車,術魔,術輝,術モ,提灯,御札,,,,,
94095707,隈乃温泉十怪談 その漆 鏡の中の彼女,隈乃温泉十怪談 その漆 鏡の中の彼女,温泉球争,概念礼装EXPカード：おかしな双子,鏡,結氷,狂秘,狂魔,狂輝,騎モ,術モ,殺モ,狂モ,牛乳,御札,,
94095708,隈乃温泉十怪談 その捌 納期に囚われし魂,隈乃温泉十怪談 その捌 納期に囚われし魂,温泉球争,概念礼装EXPカード：おかしな双子,涙石,羽根,騎魔,騎輝,騎モ,提灯,牛乳,,,,,,
94095803,【怪異大量発生中！】闇夜の牙は森の中 蝕ミ級,【怪異大量発生中！】闇夜の牙は森の中 蝕ミ級,温泉球争,概念礼装EXPカード：おかしな双子,根,幼角,種,剣秘,剣魔,剣輝,提灯,牛乳,御札,,,,
94095806,【怪異大量発生中！】白煙を舞い上げる翼 蝕ミ級,【怪異大量発生中！】白煙を舞い上げる翼 蝕ミ級,温泉球争,概念礼装EXPカード：おかしな双子,エーテル,羽根,牙,騎秘,騎魔,騎輝,提灯,牛乳,御札,,,,
94095809,【怪異大量発生中！】彷徨うは意思なき妖 蝕ミ級,【怪異大量発生中！】彷徨うは意思なき妖 蝕ミ級,温泉球争,概念礼装EXPカード：おかしな双子,ランプ,蹄鉄,骨,槍秘,槍魔,槍輝,提灯,牛乳,御札,,,,
94095812,【怪異大量発生中！】窟の中に潜む者 蝕ミ級,【怪異大量発生中！】窟の中に潜む者 蝕ミ級,温泉球争,概念礼装EXPカード：おかしな双子,爪,エーテル,八連,術秘,術魔,術輝,提灯,牛乳,御札,,,,
