id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94136701,【ゴーストルーム】 哀れな死者に追悼を,【ゴーストルーム】 哀れな死者に追悼を,開拓の鬼,ランタン,殺魔,殺輝,殺ピ,Cストーン,Cウッド,ロープ,ノート,,,,,,,
94136702,【ゴーストルーム】 行列のできる密売所,【ゴーストルーム】 行列のできる密売所,開拓の鬼,ホム,火薬,弓魔,弓輝,弓ピ,Cメタル,Cストーン,ペンキ,ロープ,,,,,,
94136703,【ゴーストルーム】 暗闇に響く笑声,【ゴーストルーム】 暗闇に響く笑声,開拓の鬼,骨,剣秘,剣輝,剣ピ,Cメタル,Cウッド,ペンキ,ノート,,,,,,,
94136704,【ゴーストルーム】 付け火・鬼火にご用心,【ゴーストルーム】 付け火・鬼火にご用心,開拓の鬼,ランプ,灰,狂魔,狂ピ,Cメタル,Cストーン,Cウッド,ペンキ,ロープ,ノート,,,,,
94136705,【ゴーストルーム】 桃園の怪人,【ゴーストルーム】 桃園の怪人,開拓の鬼,幼角,蹄鉄,槍魔,槍輝,槍モ,Cメタル,Cウッド,ロープ,ノート,,,,,,
94136706,【ゴーストルーム】 死して守護する者,【ゴーストルーム】 死して守護する者,開拓の鬼,勲章,塵,剣魔,剣輝,剣モ,Cストーン,Cウッド,ペンキ,ロープ,,,,,,
94136707,【ゴーストルーム】 恐るべき宝物庫,【ゴーストルーム】 恐るべき宝物庫,開拓の鬼,オーロラ,八連,騎魔,騎輝,騎モ,Cメタル,Cストーン,ペンキ,ノート,,,,,,
94136708,【ゴーストルーム】 終わらぬ戦士の闘争,【ゴーストルーム】 終わらぬ戦士の闘争,開拓の鬼,カケラ,証,狂秘,狂輝,狂モ,Cメタル,Cストーン,Cウッド,ペンキ,ロープ,ノート,,,,
94136709,【ゴーストルーム】 蘇りしミイラ,【ゴーストルーム】 蘇りしミイラ,開拓の鬼,産毛,鎖,殺魔,殺輝,殺モ,Cメタル,Cストーン,ロープ,ノート,,,,,,
94136710,【ゴーストルーム】 おぞましき創造の代償,【ゴーストルーム】 おぞましき創造の代償,開拓の鬼,心臓,蛇玉,弓秘,弓輝,弓モ,Cメタル,Cウッド,ペンキ,ロープ,,,,,,
94136711,【ゴーストルーム】 不死王の歓待,【ゴーストルーム】 不死王の歓待,開拓の鬼,涙石,毒針,術魔,術輝,術モ,Cストーン,Cウッド,ペンキ,ノート,,,,,,
94136712,【ゴーストルーム】 迷宮を彷徨う物の怪,【ゴーストルーム】 迷宮を彷徨う物の怪,開拓の鬼,脂,牙,騎魔,騎輝,騎モ,Cメタル,Cストーン,Cウッド,,,,,,,
