id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94060010,予選 初級 エンジョイネロ祭り,予選 初級,二神三脚,チア･フォー･マスター,証,槍輝,狂輝,槍ピ,騎ピ,花びら,銀メダル,銅メダル,,,,,,
94060011,予選 中級 砂のロマンス,予選 中級,二神三脚,チア･フォー･マスター,牙,剣輝,殺輝,剣ピ,術ピ,殺ピ,花びら,金メダル,銀メダル,,,,,
94060012,予選 上級 ぐだぐだ☆新選組,予選 上級,二神三脚,チア･フォー･マスター,勲章,剣輝,剣ピ,狂ピ,花びら,銀メダル,銅メダル,,,,,,,
94060013,予選 超級 キッチンカルデア2017,予選 超級,二神三脚,チア･フォー･マスター,爪,毒針,狂魔,騎輝,弓モ,騎モ,狂モ,花びら,金メダル,銀メダル,,,,
94060014,予選 勇者級 大江山ダウンヒル,予選 勇者級,二神三脚,チア･フォー･マスター,胆石,羽根,狂秘,騎魔,騎輝,騎モ,殺モ,花びら,金メダル,銅メダル,,,,
94060015,予選 王者級 未知と解析,予選 王者級,チア･フォー･マスター,スカラベ,蛇玉,弓秘,弓魔,剣モ,弓モ,槍モ,花びら,,,,,,,
94060050,予選 覇者級 大和の荒魂,予選 覇者級,チア･フォー･マスター,逆鱗,勾玉,狂秘,狂魔,剣モ,狂モ,花びら,金メダル,銀メダル,銅メダル,,,,,
94060016,本戦 初級 美女と闘士,本戦 初級,二神三脚,チア･フォー･マスター,鎖,狂輝,殺ピ,狂ピ,花びら,銀メダル,銅メダル,,,,,,,
94060017,本戦 中級 フランケンシュタインの家族,本戦 中級,二神三脚,チア･フォー･マスター,ホム,狂魔,狂輝,弓ピ,術ピ,狂ピ,花びら,金メダル,銀メダル,,,,,
94060018,本戦 上級 L・L・L,本戦 上級,二神三脚,チア･フォー･マスター,羽根,剣魔,剣輝,剣ピ,騎ピ,狂ピ,花びら,銀メダル,銅メダル,,,,,
94060019,本戦 超級 聖女の行進,本戦 超級,二神三脚,チア･フォー･マスター,幼角,塵,槍魔,剣モ,弓モ,槍モ,騎モ,術モ,殺モ,狂モ,花びら,金メダル,銀メダル,
94060020,本戦 勇者級 BIG TWO,本戦 勇者級,二神三脚,チア･フォー･マスター,根,勲章,剣秘,剣魔,槍魔,剣モ,槍モ,花びら,金メダル,銅メダル,,,,
94060021,本戦 王者級 勇者の戦い,本戦 王者級,チア･フォー･マスター,神酒,蹄鉄,騎秘,騎魔,騎輝,弓モ,騎モ,術モ,花びら,,,,,,
94060051,本戦 覇者級 アンチヒーローズ,本戦 覇者級,チア･フォー･マスター,鏡,結氷,弓秘,弓魔,弓モ,花びら,金メダル,銀メダル,銅メダル,,,,,,
94060022,決勝 初級 美しすぎる二人,決勝 初級,二神三脚,チア･フォー･マスター,骨,剣輝,狂輝,狂ピ,花びら,銀メダル,銅メダル,,,,,,,
94060023,決勝 中級 おにぎり百連発,決勝 中級,二神三脚,チア･フォー･マスター,ランタン,術輝,弓ピ,術ピ,花びら,金メダル,銀メダル,,,,,,,
94060024,決勝 上級 ロンディニウム学生寮,決勝 上級,二神三脚,チア･フォー･マスター,髄液,殺輝,剣ピ,殺ピ,花びら,銀メダル,銅メダル,,,,,,,
94060025,決勝 超級 ダーク・フェアリー・テール,決勝 超級,二神三脚,チア･フォー･マスター,脂,歯車,殺魔,殺輝,術モ,殺モ,狂モ,花びら,金メダル,銀メダル,,,,
94060027,決勝 王者級 シャイニー・ブライド,決勝 王者級,チア･フォー･マスター,心臓,頁,術秘,術魔,剣モ,術モ,花びら,,,,,,,,
94060052,決勝 覇者級 カルデア指南役,決勝 覇者級,チア･フォー･マスター,鬼灯,オーロラ,殺秘,殺魔,殺モ,花びら,金メダル,銀メダル,銅メダル,,,,,,
