id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10
94050100,御道具集め 狸の間,第一階層 狸の間,錦上添花,脂,歯車,毒針,殺魔,殺輝,つやべに,おしろい,,
94050101,御道具集め 狐の間,第一階層 狐の間,錦上添花,爪,歯車,種,狂魔,狂輝,かんざし,おしろい,,
94050102,御道具集め 龍の間,第一階層 龍の間,錦上添花,逆鱗,歯車,牙,騎秘,騎魔,騎輝,かんざし,つやべに,おしろい
94050103,御道具集め 蜃気楼の間,第二階層 蜃気楼の間,錦上添花,勾玉,歯車,骨,剣魔,剣輝,おしろい,,,
94050104,御道具集め 不知火の間,第二階層 不知火の間,錦上添花,歯車,塵,鉄杭,殺魔,殺輝,かんざし,つやべに,,
94050105,御道具集め 極光の間,第二階層 極光の間,錦上添花,心臓,歯車,ﾗﾝﾀﾝ,術秘,術魔,術輝,おしろい,,
94050106,御道具集め 夕闇の間,第三階層 夕闇の間,錦上添花,幼角,ﾎﾑﾍﾞﾋﾞ,歯車,槍魔,槍輝,つやべに,,,
94050107,御道具集め 宵闇の間,第三階層 宵闇の間,錦上添花,神酒,歯車,髄液,弓秘,弓魔,弓輝,かんざし,つやべに,おしろい
94050108,御道具集め 常闇の間,第三階層 常闇の間,錦上添花,産毛,歯車,羽根,殺魔,殺輝,つやべに,,,
94050109,御道具集め 隼の間,第四階層 隼の間,錦上添花,根,頁,歯車,術秘,術魔,術輝,かんざし,,
94050110,御道具集め 梟の間,第四階層 梟の間,錦上添花,胆石,歯車,火薬,狂秘,狂魔,狂輝,つやべに,おしろい,
94050111,御道具集め 極楽鳥の間,第四階層 極楽鳥の間,錦上添花,鏡,歯車,八連,騎秘,騎魔,騎輝,かんざし,,
94050112,御道具集め 梅の廊下,第五階層 梅の廊下,錦上添花,ﾗﾝﾌﾟ,蛇玉,歯車,術魔,かんざし,つやべに,,,
94050113,御道具集め 桃の間,第五階層 桃の間,錦上添花,ｽｶﾗﾍﾞ,鈴,歯車,騎秘,騎魔,騎輝,かんざし,おしろい,
94050114,御道具集め 月下美人の間,第五階層 月下美人の間,錦上添花,涙石,歯車,鎖,狂魔,狂輝,かんざし,つやべに,おしろい,
94050115,御道具集め 極光の間（裏）,第二階層 極光の間（裏）,錦上添花,心臓,歯車,ﾗﾝﾀﾝ,術秘,術魔,術輝,おしろい,,
94050116,御道具集め 常闇の間（裏）,第三階層 常闇の間（裏）,錦上添花,産毛,歯車,羽根,殺魔,殺輝,つやべに,,,
94050117,御道具集め 極楽鳥の間（裏）,第四階層 極楽鳥の間（裏）,錦上添花,鏡,歯車,八連,騎秘,騎魔,かんざし,,,
