id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94042001,枯れ果てた荒野で資源収集,テキサス・ビヨンド,双つ星の歌姫,概念礼装EXPカード：はじめてのカレー,概念礼装EXPカード：謎の物質γ,黒獣脂,鎖,剣魔,剣輝,狂輝,剣ピ,アルトリウム,銀バッヂ,銅バッヂ,,,,
94042002,静止軌道上で資源収集,ビッグ・ブルー・タンク,ベスティア・デル・ソル,概念礼装EXPカード：はじめてのカレー,概念礼装EXPカード：謎の物質γ,涙石,ランタン,狂魔,狂輝,狂ピ,アルトリウム,金バッヂ,銀バッヂ,,,,,
94042003,古代神殿跡で資源収集,アビス・サルガッソー,双つ星の歌姫,概念礼装EXPカード：はじめてのカレー,概念礼装EXPカード：謎の物質γ,スカラベ,歯車,八連,術秘,術魔,術輝,術ピ,アルトリウム,金バッヂ,銅バッヂ,,,
94042004,女王女学院で資源収集,ゼンジョー,ベスティア・デル・ソル,概念礼装EXPカード：はじめてのカレー,概念礼装EXPカード：謎の物質γ,炉心,歯車,殺魔,殺輝,殺モ,アルトリウム,銀バッヂ,銅バッヂ,,,,,
94042005,グリーン・キッチンで資源収集,グリーン・キッチン,双つ星の歌姫,概念礼装EXPカード：はじめてのカレー,概念礼装EXPカード：謎の物質γ,胆石,蛇玉,種,弓秘,弓魔,弓輝,弓モ,アルトリウム,金バッヂ,銀バッヂ,,,
94042006,禁忌宙域で資源収集,ダーク・マアンナ,ベスティア・デル・ソル,概念礼装EXPカード：はじめてのカレー,概念礼装EXPカード：謎の物質γ,指輪,髄液,騎魔,騎輝,騎モ,アルトリウム,金バッヂ,銅バッヂ,,,,,
94042007,試練の山で資源収集,修行惑星ケルトント,双つ星の歌姫,概念礼装EXPカード：はじめてのカレー,概念礼装EXPカード：謎の物質γ,幼角,蹄鉄,槍秘,槍魔,槍輝,槍モ,アルトリウム,銅バッヂ,,,,,
94042008,幻の大河で資源収集,幻想惑星カリブー,ベスティア・デル・ソル,概念礼装EXPカード：はじめてのカレー,概念礼装EXPカード：謎の物質γ,逆鱗,牙,騎秘,騎魔,騎輝,騎モ,アルトリウム,銀バッヂ,,,,,
94042009,要塞外殻で資源収集,秘匿要塞デスチェイテ,双つ星の歌姫,概念礼装EXPカード：はじめてのカレー,概念礼装EXPカード：謎の物質γ,精霊根,証,剣秘,剣魔,剣輝,剣モ,アルトリウム,金バッヂ,,,,,
94042010,アルトン星人の住処で資源収集,流浪惑星アルトン,ベスティア・デル・ソル,概念礼装EXPカード：はじめてのカレー,概念礼装EXPカード：謎の物質γ,卵,ホム,狂秘,狂魔,狂輝,騎モ,術モ,殺モ,狂モ,アルトリウム,金バッヂ,銀バッヂ,銅バッヂ
94054911,アルトン星人の住処(裏側)で資源収集,アルトン星人の住処(裏側)で資源収集,ベスティア・デル・ソル,概念礼装EXPカード：はじめてのカレー,概念礼装EXPカード：謎の物質γ,カケラ,鉄杭,剣秘,狂輝,剣モ,アルトリウム,金バッヂ,銀バッヂ,銅バッヂ,,,,
