id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14
94091600,怪異退治 浅草 お邪魔虫駆除,怪異退治 浅草 お邪魔虫駆除,月より団子,矢尻,鎖,殺魔,殺輝,むすび,干し柿,,,,,,,
94091601,怪異退治 浅草 猛獣夜行,怪異退治 浅草 猛獣夜行,月より団子,鈴,ランタン,術魔,術輝,うどん,むすび,,,,,,,
94091602,怪異退治 浅草 月下の鬼宴,怪異退治 浅草 月下の鬼宴,月より団子,八連,骨,狂魔,狂輝,うどん,干し柿,,,,,,,
94091603,怪異退治 吉原 遊女の恩讐,怪異退治 吉原 遊女の恩讐,月より団子,勾玉,灰,槍秘,槍魔,槍輝,うどん,むすび,干し柿,,,,,
94091604,怪異退治 増上寺 消えた禁呪書,増怪異退治 増上寺 消えた禁呪書寺,月より団子,オーロラ,頁,術魔,術モ,むすび,干し柿,,,,,,,
94091605,怪異退治 赤坂 乱世の軍勢,怪異退治 赤坂 乱世の軍勢,月より団子,牙,騎魔,騎輝,騎モ,うどん,むすび,,,,,,,
94091606,怪異退治 横須賀 妖蛇の台所,怪異退治 横須賀 妖蛇の台所,月より団子,蛇玉,剣秘,剣魔,剣輝,剣モ,うどん,干し柿,,,,,,
94091607,怪異退治 鳥越神社 霊魂漂う巡礼路,怪異退治 鳥越神社 霊魂漂う巡礼路,月より団子,ランプ,小鐘,殺魔,殺輝,殺モ,むすび,干し柿,,,,,,
94091608,怪異退治 日本橋 この橋渡るべからず,怪異退治 日本橋 この橋渡るべからず,月より団子,産毛,糸玉,弓魔,弓輝,弓モ,うどん,むすび,,,,,,
94091609,怪異退治 神田 白き暴徒達,怪異退治 神田 白き暴徒達,月より団子,爪,ホム,狂秘,狂魔,狂輝,狂モ,うどん,干し柿,,,,,
94091610,怪異退治 神奈川湊 異邦からの来訪者,怪異退治 神奈川湊 異邦からの来訪者,月より団子,神酒,結氷,狂秘,狂輝,剣モ,弓モ,槍モ,うどん,むすび,干し柿,,,
94091611,怪異退治 江戸城 襲来せし邪竜,怪異退治 江戸城 襲来せし邪竜,月より団子,鏡,刃,槍秘,槍魔,槍モ,うどん,むすび,干し柿,,,,,
