id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08
94051701,セーフティコテージ,セーフティコテージ,ハイド・ハンター,蹄鉄,槍魔,槍輝,野菜,薪,,
94051703,デンジャーコテージ,デンジャーコテージ,チェーンソー・オブ・ザ・デッド,八連,槍輝,野菜,薪,,,
94051705,スプラッシュレイク,スプラッシュレイク,ハイド・ハンター,貝殻,剣魔,剣輝,チェーンソー,野菜,,
94051707,ブラッディレイク,ブラッディレイク,チェーンソー・オブ・ザ・デッド,蛇玉,剣魔,剣輝,チェーンソー,野菜,,
94051709,ハイキングフォレスト,ハイキングフォレスト,ハイド・ハンター,逆鱗,種,狂秘,狂魔,狂輝,チェーンソー,薪
94051711,スニーキングフォレスト,スニーキングフォレスト,チェーンソー・オブ・ザ・デッド,神酒,勲章,狂秘,狂輝,チェーンソー,薪,
94051713,リラックスマンション,リラックスマンション,幼角,頁,弓魔,チェーンソー,野菜,薪,,
94051714,リラックスマンション,リラックスマンション,ハイド・ハンター,幼角,頁,弓魔,チェーンソー,野菜,薪,
94051715,パニックマンション,パニックマンション,涙石,ランタン,弓魔,弓輝,チェーンソー,野菜,薪,
94051716,パニックマンション,パニックマンション,チェーンソー・オブ・ザ・デッド,涙石,ランタン,弓魔,弓輝,チェーンソー,野菜,薪
94051717,ワイルドハウス,ワイルドハウス,ランプ,矢尻,槍秘,槍魔,槍輝,野菜,薪,
94051718,ワイルドハウス,ワイルドハウス,ハイド・ハンター,ランプ,矢尻,槍秘,槍魔,槍輝,野菜,薪
94051719,スリラーハウス,スリラーハウス,,鏡,塵,槍秘,野菜,薪,,
94051721,エキサイトマーケット,エキサイトマーケット,ハイド・ハンター,脂,牙,術魔,術輝,チェーンソー,野菜,
94051723,コープスマーケット,コープスマーケット,チェーンソー・オブ・ザ・デッド,羽根,鉄杭,術魔,術輝,チェーンソー,野菜,
94051725,サイレントガーデン,サイレントガーデン,ハイド・ハンター,卵,髄液,弓秘,弓魔,弓輝,チェーンソー,薪
