id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94088100,調査せよ！ 華麗なるコスプレ強制紳士！,調査せよ！ 華麗なるコスプレ強制紳士！,一衣帯水,結氷,騎魔,騎輝,騎ピ,ナッツ,ビーンズ,エナドリ,カレー,,,,,,,
94088101,調査せよ！ 山から響く謎の美声！,調査せよ！ 山から響く謎の美声！,泡沫の彼方,鉄杭,殺輝,殺ピ,ビーンズ,ポンド,カレー,ステーキ,,,,,,,,
94088102,調査せよ！ バナナの消費が爆上がり！？,調査せよ！ バナナの消費が爆上がり！？,一衣帯水,羽根,剣魔,剣輝,剣ピ,ナッツ,ポンド,エナドリ,ステーキ,,,,,,,
94088103,調査せよ！ お宿に出てくる百鬼夜行！,調査せよ！ お宿に出てくる百鬼夜行！,泡沫の彼方,勾玉,槍秘,槍魔,槍輝,槍ピ,ナッツ,ビーンズ,ポンド,エナドリ,カレー,ステーキ,,,,
94088104,調査せよ！ 大手サークルのサボリ現場！,調査せよ！ 大手サークルのサボリ現場！,一衣帯水,頁,術魔,術輝,術モ,ナッツ,ビーンズ,エナドリ,カレー,ステーキ,,,,,,
94088105,調査せよ！ 森のヌシを操る謎の影！,調査せよ！ 森のヌシを操る謎の影！,泡沫の彼方,胆石,牙,狂秘,狂輝,狂モ,ビーンズ,ポンド,エナドリ,カレー,ステーキ,,,,,
94088106,調査せよ！ 魔女の家に住む本の虫？,調査せよ！ 魔女の家に住む本の虫？,一衣帯水,脂,糸玉,騎魔,騎輝,騎モ,ナッツ,ポンド,エナドリ,カレー,ステーキ,,,,,
94088107,調査せよ！ 高級ホテルの怪奇！,調査せよ！ 高級ホテルの怪奇！,泡沫の彼方,実,鱗粉,剣秘,剣魔,剣輝,剣モ,ナッツ,ビーンズ,エナドリ,カレー,ステーキ,,,,
94088108,調査せよ！ レースに蔓延る闇賭博！,調査せよ！ レースに蔓延る闇賭博！,一衣帯水,産毛,蹄鉄,弓魔,弓輝,弓モ,ビーンズ,ポンド,エナドリ,カレー,ステーキ,,,,,
94088109,調査せよ！ ホテルの夜警で大騒動？！,調査せよ！ ホテルの夜警で大騒動？！,泡沫の彼方,涙石,皮,狂魔,狂モ,ナッツ,ポンド,エナドリ,カレー,ステーキ,,,,,,
94088110,夏！ うみ！ 水上の美女！！,夏！ うみ！,一衣帯水,泡沫の彼方,幼角,貝殻,狂魔,狂輝,騎モ,術モ,殺モ,狂モ,ナッツ,ビーンズ,ポンド,エナドリ,カレー,ステーキ
