id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13
94080101,らぶらぶ鎮圧戦 似ていない人形を回収せよ！,似ていない人形を回収せよ！,後ろの席の可愛い奴,ホム,殺魔,殺輝,殺ピ,らぶらぶはぁとポイント,らぶらぶペナント,らぶらぶキーホルダー,,,,,
94080102,らぶらぶ鎮圧戦 ヨハンナ頌歌の拡散を防げ！,ヨハンナ頌歌の拡散を防げ！,後ろの席の可愛い奴,貝殻,術輝,術ピ,らぶらぶはぁとポイント,らぶらぶコイン,らぶらぶペナント,,,,,,
94080103,らぶらぶ鎮圧戦 町の門を突破せよ！,町の門を突破せよ！,後ろの席の可愛い奴,証,剣輝,剣ピ,らぶらぶはぁとポイント,らぶらぶコイン,らぶらぶキーホルダー,,,,,,
94080104,らぶらぶ鎮圧戦 傭兵団を倒せ！,傭兵団を倒せ！,後ろの席の可愛い奴,産毛,火薬,弓魔,弓輝,弓ピ,らぶらぶはぁとポイント,らぶらぶコイン,らぶらぶペナント,らぶらぶキーホルダー,,,
94080105,らぶらぶ鎮圧戦 自警団から逃げろ！,自警団から逃げろ！,後ろの席の可愛い奴,鈴,羽根,騎魔,騎モ,らぶらぶはぁとポイント,らぶらぶペナント,らぶらぶキーホルダー,,,,,
94080106,らぶらぶ鎮圧戦 ファンクラブへの勧誘を止めろ！,ファンクラブへの勧誘を止めろ！,後ろの席の可愛い奴,幼角,小鐘,槍魔,槍モ,らぶらぶはぁとポイント,らぶらぶコイン,らぶらぶペナント,,,,,
94080107,らぶらぶ鎮圧戦 像の修繕を阻止せよ！,像の修繕を阻止せよ！,後ろの席の可愛い奴,脂,八連,狂魔,狂輝,狂モ,らぶらぶはぁとポイント,らぶらぶコイン,らぶらぶキーホルダー,,,,
94080108,らぶらぶ鎮圧戦 黄金式場を破壊せよ！,黄金式場を破壊せよ！,後ろの席の可愛い奴,根,勾玉,剣秘,剣魔,剣モ,らぶらぶはぁとポイント,,,,,,
94080109,らぶらぶ鎮圧戦 若き富豪の野望を阻止せよ！,若き富豪の野望を阻止せよ！,後ろの席の可愛い奴,カケラ,髄液,術秘,術輝,術モ,らぶらぶはぁとポイント,らぶらぶコイン,らぶらぶペナント,らぶらぶキーホルダー,,,
94080110,らぶらぶ鎮圧戦 新たな石像の建立を妨害しろ！,新たな石像の建立を妨害しろ！,後ろの席の可愛い奴,鏡,剣,狂秘,狂魔,騎モ,術モ,殺モ,狂モ,らぶらぶはぁとポイント,らぶらぶコイン,らぶらぶペナント,らぶらぶキーホルダー
