id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94088901,現地調査！ 聖杯の行方！,現地調査！ 聖杯の行方！,ほしの歩き方,証,槍輝,槍ピ,ブーメラン,カモノハシ,,,,,,,,,,
94088902,現地調査！ 街中の騒動！,現地調査！ 街中の騒動！,ほしの歩き方,火薬,弓輝,弓ピ,コアラ,ブーメラン,,,,,,,,,,
94088903,現地調査！ 魔獣襲来！,現地調査！ 魔獣襲来！,ほしの歩き方,種,剣魔,剣輝,剣ピ,コアラ,カモノハシ,,,,,,,,,
94088904,現地調査！ 闇夜の訪れ！,現地調査！ 闇夜の訪れ！,ほしの歩き方,脂,鎖,狂魔,狂輝,狂ピ,ブーメラン,カモノハシ,,,,,,,,
94088905,世界旅行！ 灼熱の常夏ビーチ！,世界旅行！ 灼熱の常夏ビーチ！,ほしの歩き方,ランプ,塵,術魔,術輝,術モ,コアラ,ブーメラン,,,,,,,,
94088906,世界旅行！ キャンプ地の怨霊！,世界旅行！ キャンプ地の怨霊！,ほしの歩き方,ランタン,鉄杭,騎魔,騎輝,騎モ,コアラ,カモノハシ,,,,,,,,
94088907,世界旅行！ 砂塵舞う砂漠にて！,世界旅行！ 砂塵舞う砂漠にて！,ほしの歩き方,羽根,歯車,弓魔,弓輝,弓モ,ブーメラン,カモノハシ,,,,,,,,
94088908,世界旅行！ ハロウィンの騒動！,世界旅行！ ハロウィンの騒動！,ほしの歩き方,勾玉,八連,剣魔,剣輝,剣モ,コアラ,ブーメラン,,,,,,,,
94088909,世界旅行！ 城への侵入者！,世界旅行！ 城への侵入者！,ほしの歩き方,心臓,蛇玉,槍秘,槍魔,槍輝,槍モ,コアラ,カモノハシ,,,,,,,
94088910,世界旅行！ 勝負の後の一時！,世界旅行！ 勝負の後の一時！,ほしの歩き方,スカラベ,小鐘,術秘,術魔,術輝,術モ,コアラ,ブーメラン,カモノハシ,,,,,,
94088911,世界旅行！ 泡沫の夢のあと！,世界旅行！ 泡沫の夢のあと！,ほしの歩き方,神酒,指輪,狂秘,狂魔,騎モ,術モ,殺モ,狂モ,コアラ,ブーメラン,カモノハシ,,,,
