id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09
94031320,基礎トレーニング ベンチプレス級,ベンチプレス級,聖女の教示,鉄杭,騎輝,騎ピ,タオル,バンド,,,
94031321,基礎トレーニング デッドリフト級,デッドリフト級,聖女の教示,貝殻,槍輝,槍ピ,タオル,ダンベル,,,
94031322,基礎トレーニング スクワット級,スクワット級,聖女の教示,証,弓輝,弓ピ,タオル,マイク,,,
94031323,第一の特訓 ジャングル・フィールド,ジャングル・フィールド,聖女の教示,蹄鉄,ランタン,剣魔,剣輝,剣モ,タオル,バンド,
94031324,第二の特訓 サンセット・アスレチック,サンセット・アスレチック,聖女の教示,スカラベ,鎖,殺秘,殺輝,殺モ,タオル,ダンベル,
94031325,第三の特訓 アイシクル・トンネル,アイシクル・トンネル,聖女の教示,脂,骨,槍秘,槍輝,槍モ,タオル,マイク,
94031326,第四の特訓 グリード・ラビリンス,グリード・ラビリンス,聖女の教示,結氷,歯車,騎秘,騎魔,騎輝,騎モ,タオル,バンド
94031327,第五の特訓 マグマ・コロシアム,マグマ・コロシアム,聖女の教示,指輪,八連,狂秘,狂魔,狂モ,タオル,ダンベル,
94031328,第六の特訓 フロント・スクエア,フロント・スクエア,聖女の教示,心臓,髄液,術秘,術輝,術モ,タオル,マイク,
94031329,第七の特訓 ファイナル・ヘル,ファイナル・ヘル,聖女の教示,爪,羽根,弓秘,弓輝,弓モ,タオル,,
94031340,マッスルパラダイス,マッスルパラダイス,オーロラ,弓輝,マイク,,,,,,
