id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11
94054301,メリー・ロードワーク 初級,メリー・ロードワーク 初級,チェリー・アイシクル,蛇玉,毒針,槍輝,槍ピ,バンテージ,バー,ガム,,,
94054302,メリー・ロードワーク 中級,メリー・ロードワーク 中級,チェリー・アイシクル,蛇玉,骨,殺輝,殺ピ,バンテージ,バナナ,バー,,,
94054303,メリー・ロードワーク 上級,メリー・ロードワーク 上級,チェリー・アイシクル,結氷,蛇玉,弓魔,弓輝,弓ピ,バンテージ,バナナ,ガム,,
94054304,メリー・ロードワーク フライ級,フライ級,チェリー・アイシクル,涙石,冠,種,狂魔,狂輝,狂ピ,バンテージ,バナナ,バー,ガム
94054305,メリー・ロードワーク バンタム級,バンタム級,チェリー・アイシクル,炉心,冠,歯車,剣魔,剣輝,剣モ,バンテージ,バー,ガム,
94054306,メリー・ロードワーク フェザー級,フェザー級,チェリー・アイシクル,ランプ,冠,頁,術魔,術輝,術モ,バンテージ,バナナ,バー,
94054307,メリー・ロードワーク ウェルター級,ウェルター級,チェリー・アイシクル,逆鱗,霊子,牙,騎秘,騎魔,騎輝,騎モ,バンテージ,バナナ,ガム
94054308,メリー・ロードワーク ヘビー級,ヘビー級,チェリー・アイシクル,神酒,霊子,蹄鉄,槍秘,槍魔,槍輝,槍モ,バンテージ,,
94054309,メリー・ロードワーク スーパーヘビー級,スーパーヘビー級,チェリー・アイシクル,心臓,霊子,勲章,弓秘,弓魔,弓モ,バンテージ,バナナ,バー,ガム
94054330,聖夜の拳闘祭,聖夜の拳闘祭,指輪,弓輝,バナナ,,,,,,,,
