id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20
94139001,【血の恋愛ゲーム配信】恋愛なるものを調査します,【血の恋愛ゲーム配信】恋愛なるものを調査します,マジカルシオン,証,槍輝,槍ピ,SMアクキー,SMバッヂ,,,,,,,,,,,,,,
94139002,【年間ベストバイ】今年買うべきロボはこれ！,【年間ベストバイ】今年買うべきロボはこれ！,マジカルシオン,歯車,騎魔,騎輝,騎ピ,SMぬい,SMアクキー,,,,,,,,,,,,,
94139003,【踊ってみた】歌舞伎の舞、とくと御覧じろ！,【踊ってみた】歌舞伎の舞、とくと御覧じろ！,マジカルシオン,鎖,術魔,術輝,術ピ,SMぬい,SMバッヂ,,,,,,,,,,,,,
94139004,【雑談枠】もっともっと褒めてください,【雑談枠】もっともっと褒めてください,マジカルシオン,霊子,ランタン,殺魔,殺輝,殺モ,SMぬい,SMアクキー,SMバッヂ,,,,,,,,,,,
94139005,【厳選ＦＰＳ配信】全部のゲームでトップを狙う,【厳選ＦＰＳ配信】全部のゲームでトップを狙う,マジカルシオン,炉心,火薬,弓魔,弓輝,弓モ,SMアクキー,SMバッヂ,,,,,,,,,,,,
94139006,【アルトリアクラフト】氷彫刻を作ります,【アルトリアクラフト】氷彫刻を作ります,マジカルシオン,産毛,骨,狂魔,狂輝,狂モ,SMぬい,SMアクキー,,,,,,,,,,,,
94139007,【参加型】筋トレは裏切りません,【参加型】筋トレは裏切りません,マジカルシオン,鏡,八連,槍魔,槍輝,槍モ,SMぬい,SMバッヂ,,,,,,,,,,,,
94139008,【歌枠】我が愛を皆に贈ろう！,【歌枠】我が愛を皆に贈ろう！,マジカルシオン,卵,勲章,剣秘,剣魔,剣モ,SMぬい,SMアクキー,SMバッヂ,,,,,,,,,,,
94139009,【凸待ち】腕に自信がある者大歓迎！,【凸待ち】腕に自信がある者大歓迎！,マジカルシオン,心臓,皮,弓秘,弓魔,騎モ,術モ,殺モ,狂モ,SMぬい,SMアクキー,SMバッヂ,,,,,,,,
94139105,キングサンタ総力戦 プラネット級,キングサンタ総力戦 プラネット級,マジカルシオン,カケラ,糸玉,ホム,塵,騎秘,術秘,殺秘,狂秘,騎魔,術魔,殺魔,狂魔,騎輝,術輝,殺輝,狂輝,SMぬい,SMアクキー,SMバッヂ
